ingredient_name,ingredient_id
양파17.5g,500669
중력분25g,500670
미역마른것5g,500671
잣20g,500672
밥140g,500673
팥40g,500674
애호박50g,500675
감자100g,500676
쇠고기갈은것50g,500677
.,500678
양송이버섯12.8g,500679
바게트,500680
우엉,500681
당근갈은것40g,500682
밥20g,500683
단호박18g,500684
표고버섯마른것20g,500685
감자40g,500686
배추잎50g,500687
당면20g,500688
단호박14g,500689
도라지25g,500690
브로컬리20g,500691
표고버섯5g,500692
비트80g,500693
상추15g,500694
비트,500695
진미채,500696
감말랭이,500697
땅콩호박,500698
크랜베리,500699
박력분,500700
대추고,500701
수삼10g,500702
해선장2g,500703
양배추16g,500704
얼갈이배추60g,500705
•필수재료:오이,500706
상추10g,500707
청고추10g,500708
달걀110g,500709
콩30g,500710
곤약10g,500711
바나나,500712
딸기,500713
아몬드슬라이스,500714
밤고구마,500715
당근퓨레,500716
완두콩,500717
호떡반죽,500718
렌틸콩,500719
호박고구마,500720
어묵,500721
대두10g,500722
두부67g,500723
녹차가루6g,500724
자색고구마,500725
멥쌀가루,500726
오미자,500727
말린오미자,500728
밤,500729
자두,500730
배,500731
유자,500732
우유,500733
바지락10g,500734
바지락30g,500735
계란150g,500736
소고기70g,500737
삼치50g,500738
두부50g,500739
톳나물15g,500740
퀴노아3g,500741
캔참치20g,500742
배추김치18g,500743
찹쌀가루15g,500744
떡볶이떡26g,500745
포도,500746
만가닥버섯25g,500747
양파80g,500748
고구마순25g,500749
•필수재료:배추,500750
아욱200g,500751
검정콩,500752
고사리30g,500753
매생이30g,500754
병아리콩10g,500755
가지7g,500756
통도라지80g,500757
계란60g,500758
고구마순60g,500759
시금치80g,500760
미숫가루15g,500761
사과20g,500762
토마토50g,500763
•필수재료:포두부,500764
참외,500765
흰강낭콩,500766
홍합50g,500767
콩나물50g,500768
동태살120g,500769
낙지30g,500770
불린병아리콩,500771
황금팽이버섯,500772
미역줄기,500773
정수물,500774
사과식초 약,500775
파채,500776
정수물 약,500777
간마늘,500778
국산콩손두부,500779
정수물 약5와,500780
삶은 메추리알,500781
정수 물 약,500782
정수물 약 8과,500783
정수물 약 6과,500784
정수물 약 3과,500785
초벌소곱창,500786
식용유,500787
등갈비 약,500788
순한맛 라면,500789
다진 돼지고기,500790
고구마 약 1개~,500791
손질오징어,500792
쌀 약,500793
콩비지 2와,500794
물,500795
단무지,500796
밥 약,500797
물 약 5와,500798
물 약,500799
공심채,500800
냉동감자,500801
맛소금 약,500802
사골국물,500803
물 약 2와,500804
정수 물 약 1과,500805
진간장 약,500806
대파 약,500807
토마토 1과,500808
식초 약,500809
라면,500810
대패삼겹살,500811
진비빔면,500812
고추장 약,500813
중멸치 약,500814
고추장 2와,500815
진미채 약,500816
밀떡볶이떡 1과,500817
돼지고기뒷다리살,500818
달걀노른자 약,500819
멸치액젓 약,500820
통조림참치,500821
파 채,500822
얇은 사각어묵,500823
모차렐라 치즈,500824
떡볶이떡 1과,500825
약,500826
2-,500827
떡볶이 떡 약1과,500828
생굴,500829
안심,500830
간 돼지고기,500831
대파 1과,500832
냉동만두,500833
사각얼음 약,500834
감자 2-,500835
황설탕,500836
황설탕 2와,500837
소갈비,500838
간 돼지고기 약,500839
정수물 8과,500840
진간장,500841
분홍소시지,500842
통식빵,500843
삶은 옥수수,500844
삶은달걀,500845
찰옥수수,500846
디포리,500847
신김치,500848
두부 약,500849
순한맛라면,500850
오이 약,500851
후르츠칵테일,500852
식용유 약,500853
칼국수 면,500854
설탕,500855
노랑파프리카,500856
불린 미역 1과,500857
통조림 옥수수,500858
신김치 약,500859
돼지고기 후지 슬라이스,500860
토막 닭고기,500861
소면,500862
건 다시마,500863
순두부,500864
옥수수통조림,500865
열무,500866
통마늘,500867
두부반모,500868
김,500869
순대,500870
중면,500871
소 불고기용,500872
무 4.,500873
닭갈비 도시락,500874
알새우칩 과자,500875
마요네즈,500876
시금치,500877
부추,500878
자른미역,500879
돼지고기전지,500880
닭근위,500881
오징어채,500882
굵은고춧가루,500883
간돼지고기,500884
된장,500885
돈등심,500886
물 4와,500887
뒷다리살,500888
깐 밤,500889
소고기목심,500890
물 2.,500891
만두피,500892
쌀떡,500893
참기름,500894
튀김가루,500895
돼지고기등심,500896
불린고사리,500897
LA갈비,500898
양지다짐육 1과,500899
맛소금,500900
무 1과,500901
버터 1과,500902
동태,500903
표고불린물 1.,500904
두부 1과,500905
통조림골뱅이,500906
